cycle,time,temp,0,0,0,50,50,50,100,100,100,200,200,200,400,400,400,800,800,800,2500,2500,2500
1,0,38.2,0.1224,0.1268,0.1268,0.3265,0.3279,0.3346,0.3412,0.3434,0.3371,0.3473,0.3548,0.3518,0.339,0.3433,0.3457,0.3433,0.3484,0.3523,0.3532,0.3585,0.3485
2,7.352,38.2,0.1173,0.127,0.1176,0.3321,0.3371,0.3437,0.36,0.3556,0.3489,0.3606,0.3674,0.3718,0.3595,0.36,0.3646,0.3668,0.3671,0.3713,0.3784,0.3718,0.3598
3,14.7,38.2,0.1168,0.1263,0.1172,0.3378,0.3495,0.3493,0.3658,0.3687,0.3605,0.3775,0.3801,0.3859,0.3735,0.3881,0.3785,0.3823,0.3897,0.3891,0.3964,0.3911,0.374
4,22.048,38.3,0.1169,0.1292,0.1171,0.3465,0.3552,0.3612,0.3775,0.3755,0.3733,0.3893,0.3985,0.4081,0.3881,0.3914,0.3963,0.399,0.4042,0.4027,0.4039,0.3993,0.388
5,29.41,38.2,0.1166,0.1257,0.1179,0.3537,0.3633,0.3731,0.3848,0.3862,0.3789,0.4037,0.4076,0.4149,0.4038,0.4077,0.4146,0.4152,0.4192,0.4208,0.4199,0.4182,0.4038
6,36.771,38.1,0.1163,0.1256,0.1175,0.3592,0.3678,0.3732,0.3946,0.3969,0.3903,0.4152,0.4197,0.4247,0.4175,0.4217,0.4264,0.4323,0.4351,0.4395,0.4342,0.43,0.419
7,44.124,38.2,0.1161,0.1259,0.1192,0.3651,0.3792,0.3801,0.403,0.4173,0.3992,0.4243,0.4329,0.4361,0.4314,0.4321,0.4425,0.4456,0.451,0.4583,0.4492,0.4435,0.4293
8,51.47,38.3,0.1165,0.1264,0.1181,0.3736,0.3807,0.3888,0.4125,0.4157,0.4122,0.4386,0.4422,0.4465,0.4432,0.448,0.4531,0.4593,0.4625,0.4744,0.458,0.4588,0.4407
9,58.82,38.2,0.1162,0.1254,0.1188,0.3802,0.3923,0.3981,0.4194,0.42,0.4166,0.4465,0.453,0.4583,0.4566,0.4578,0.4686,0.4774,0.4785,0.483,0.474,0.4691,0.453
