cycle,time,temp,0,0,0,1.5,1.5,1.5,3,3,3,6,6,6,12.5,12.5,12.5,25,25,25,50,50,50
1,0,33.1,0.1398,0.142,0.1417,0.2188,0.221,0.2228,0.2289,0.2235,0.2228,0.227,0.2219,0.2169,0.2218,0.2296,0.2278,0.228,0.2244,0.2219,0.2356,0.2314,0.234
2,7.141,33.1,0.131,0.133,0.1363,0.2215,0.2196,0.2228,0.2251,0.2275,0.2247,0.2312,0.2249,0.2182,0.2269,0.2294,0.2291,0.2354,0.2279,0.2246,0.2424,0.2355,0.241
3,14.288,33.2,0.1309,0.1324,0.1379,0.2221,0.2221,0.2207,0.2242,0.2278,0.2253,0.233,0.2256,0.2226,0.2266,0.2326,0.2316,0.2416,0.2343,0.2256,0.2481,0.2442,0.2467
4,21.454,33.3,0.1309,0.1329,0.1357,0.2228,0.2322,0.2213,0.2293,0.225,0.2265,0.2327,0.2304,0.2257,0.2293,0.2391,0.2339,0.2432,0.2365,0.2306,0.2536,0.2496,0.2515
5,28.619,33.4,0.1304,0.1394,0.1358,0.2264,0.227,0.2256,0.2299,0.2248,0.2313,0.2325,0.2361,0.2286,0.2331,0.238,0.2382,0.2496,0.2433,0.2331,0.2583,0.2533,0.2586
6,35.788,33.3,0.1306,0.1319,0.1367,0.2291,0.2337,0.225,0.2325,0.2283,0.2283,0.2395,0.2373,0.2276,0.2374,0.2389,0.2412,0.253,0.2515,0.2342,0.2625,0.2573,0.264
7,42.958,33.3,0.1302,0.1368,0.1337,0.2258,0.2327,0.2295,0.2306,0.2286,0.2306,0.2407,0.2335,0.2294,0.2371,0.2413,0.2413,0.2549,0.2525,0.242,0.2679,0.2629,0.2661
8,50.124,33.4,0.13,0.1318,0.134,0.228,0.2327,0.2314,0.2314,0.2281,0.2317,0.2369,0.2359,0.2326,0.2399,0.243,0.2452,0.2602,0.2559,0.2444,0.2739,0.2672,0.2714
9,57.29,33.4,0.1298,0.1331,0.1362,0.2306,0.2341,0.235,0.2364,0.2325,0.2333,0.2452,0.2366,0.2316,0.2419,0.2433,0.245,0.2632,0.2562,0.2449,0.279,0.2742,0.279
,,,,,,,,,,,,,,,,,,,,,,,
