cycle,time,temp,0,0,0,50,50,50,100,100,100,200,200,200,400,400,400,800,800,800,2500,2500,2500
1,0,23.4,0.1443,0.141,0.1378,0.4658,0.4656,0.4737,0.4753,0.4807,0.4779,0.4734,0.4721,0.4675,0.481,0.4897,0.4877,0.4842,0.4741,0.4666,0.4964,0.5183,0.4898
2,6.854,23.4,0.1442,0.1408,0.1382,0.4701,0.4723,0.475,0.4814,0.4816,0.4788,0.474,0.4764,0.4706,0.4929,0.4961,0.489,0.4927,0.48,0.4732,0.5076,0.518,0.4965
3,13.709,23.5,0.1443,0.142,0.1379,0.4701,0.4799,0.4684,0.4858,0.4838,0.4788,0.4817,0.4771,0.4771,0.4914,0.5037,0.4966,0.4951,0.4851,0.4805,0.5152,0.521,0.5099
4,20.562,23.6,0.1442,0.1407,0.1377,0.4801,0.4853,0.4722,0.4906,0.4893,0.4863,0.4813,0.4837,0.4855,0.4974,0.5067,0.5004,0.5046,0.4924,0.4914,0.5232,0.5321,0.5163
5,27.425,23.4,0.1442,0.1398,0.1376,0.4785,0.493,0.4759,0.4924,0.4868,0.4896,0.4855,0.4856,0.4962,0.5007,0.5139,0.5061,0.505,0.4983,0.4953,0.53,0.5375,0.5216
6,34.285,23.3,0.1442,0.1391,0.1373,0.4843,0.4907,0.4798,0.501,0.4913,0.4963,0.4933,0.4911,0.4945,0.5043,0.5173,0.5142,0.5137,0.5032,0.5002,0.538,0.5462,0.5268
7,41.158,22.9,0.1441,0.1389,0.1374,0.4877,0.4872,0.4877,0.5001,0.4983,0.4955,0.4927,0.5006,0.4928,0.5087,0.5223,0.5174,0.5196,0.5073,0.5081,0.5455,0.5574,0.5375
8,48.04,23.2,0.1439,0.1394,0.1374,0.4859,0.4899,0.4887,0.5026,0.5061,0.4994,0.498,0.4987,0.4988,0.5127,0.5257,0.5223,0.5268,0.5183,0.5081,0.5541,0.5694,0.5454
9,54.932,23.5,0.144,0.1392,0.1371,0.4889,0.4975,0.4909,0.5095,0.5031,0.5068,0.504,0.5064,0.5044,0.5183,0.5267,0.5265,0.5315,0.5157,0.5123,0.5626,0.5678,0.5541
