NADH,temp,0_min,30_min,60_min,90_min,120_min
0,28,0.0481,0.0483,0.048,0.0482,0.048
2,28,0.1669,0.1683,0.1681,0.1675,0.1672
4,28,0.2994,0.3051,0.3031,0.3021,0.3011
6,28,0.4412,0.4473,0.446,0.4447,0.4437
8,28,0.5688,0.5808,0.5778,0.5768,0.5752
10,28,0.6884,0.7112,0.7062,0.7046,0.7029
0,28,0.0485,0.0483,0.0483,0.0484,0.0483
2,28,0.1702,0.1718,0.172,0.1717,0.1714
4,28,0.3027,0.3053,0.305,0.3045,0.3033
6,28,0.4317,0.4345,0.4416,0.4402,0.4392
8,28,0.5746,0.5822,0.5801,0.5817,0.5794
10,28,0.7084,0.7231,0.7212,0.7193,0.7171
