NADH,temp,0_min,5_min,10_min,15_min,20_min,30_min,40_min,60_min
0,45,0.0484,0.0479,0.0479,0.0477,0.0478,0.0484,0.0489,0.0496
2,45,0.1612,0.1604,0.1603,0.1593,0.1588,0.1597,0.1579,0.1582
4,45,0.2854,0.2833,0.2821,0.2812,0.2804,0.2791,0.2766,0.2735
6,45,0.4174,0.4143,0.4121,0.4107,0.4087,0.4074,0.4059,0.3999
8,45,0.5406,0.5371,0.5346,0.5322,0.5297,0.5277,0.5223,0.5159
10,45,0.7138,0.7087,0.7059,0.7034,0.6981,0.695,0.6821,0.6733
0,45,0.0486,0.0488,0.0485,0.0483,0.0483,0.0485,0.0486,0.0489
2,45,0.1624,0.1614,0.1607,0.1604,0.1598,0.159,0.1582,0.1573
4,45,0.2899,0.288,0.2862,0.2854,0.2843,0.2828,0.2808,0.2772
6,45,0.4211,0.4176,0.4157,0.4139,0.4115,0.4099,0.4066,0.401
8,45,0.5556,0.552,0.5488,0.5467,0.5439,0.5415,0.5363,0.5297
10,45,0.6782,0.6725,0.6687,0.6663,0.6621,0.6584,0.6521,0.6434
