EtOH,temp,sample_vol,n_flies,genotype,0_min,10_min
12.5,28,10,80,adh-f,0.7994,2.0896
50,28,10,80,adh-f,0.9991,2.5772
200,28,10,80,adh-f,1.2297,2.7446
1000,28,10,80,adh-f,1.2222,2.4733
12.5,28,10,80,adh-f,0.7627,2.0108
50,28,10,80,adh-f,1.1037,2.9919
200,28,10,80,adh-f,1.1353,2.9006
1000,28,10,80,adh-f,1.2454,2.9062
12.5,28,50,80,adh-f,1.0954,1.9625
50,28,50,80,adh-f,1.5414,2.4888
200,28,50,80,adh-f,2.2103,2.4806
1000,28,50,80,adh-f,2.8171,2.4739
12.5,28,50,80,adh-f,1.3383,2.4655
50,28,50,80,adh-f,1.6841,2.3897
200,28,50,80,adh-f,2.441,2.7831
1000,28,50,80,adh-f,2.827,2.5749
