EtOH,temp,sample_vol,n_flies,genotype,0_min,30_min,60_min,90_min,120_min
0,28,25,1,adh-f,0.0555,0.1094,0.1796,0.2825,0.3913
6.25,28,25,1,adh-f,0.0603,0.1432,0.2456,0.3688,0.5042
12.5,28,25,1,adh-f,0.0659,0.195,0.3474,0.517,0.6986
25,28,25,1,adh-f,0.0699,0.2107,0.3602,0.5258,0.6973
50,28,25,1,adh-f,0.0732,0.2425,0.4148,0.5953,0.7831
100,28,25,1,adh-f,0.0798,0.3069,0.5362,0.773,1.0141
200,28,25,1,adh-f,0.084,0.3538,0.6303,0.9151,1.2031
1000,28,25,1,adh-f,0.0868,0.3748,0.6659,0.9701,1.2796
0,28,25,1,adh-f,0.0528,0.0716,0.097,0.1391,0.1872
6.25,28,25,1,adh-f,0.0581,0.1141,0.172,0.236,0.3029
12.5,28,25,1,adh-f,0.0712,0.1543,0.2484,0.3396,0.4409
25,28,25,1,adh-f,0.0706,0.2013,0.329,0.4558,0.5803
50,28,25,1,adh-f,0.0773,0.2705,0.4622,0.6542,0.8462
100,28,25,1,adh-f,0.0803,0.3118,0.5449,0.7818,1.0172
200,28,25,1,adh-f,0.0842,0.3609,0.6447,0.9367,1.2287
1000,28,25,1,adh-f,0.092,0.4272,0.7686,1.1219,1.4766
0,28,25,1,adh-s,0.0483,0.0493,0.0511,0.0515,0.0531
6.25,28,25,1,adh-s,0.049,0.0531,0.0568,0.0602,0.0637
12.5,28,25,1,adh-s,0.0495,0.058,0.0655,0.0728,0.0794
25,28,25,1,adh-s,0.0505,0.0638,0.0769,0.0885,0.0993
50,28,25,1,adh-s,0.0539,0.0725,0.0934,0.113,0.1305
100,28,25,1,adh-s,0.0512,0.0763,0.1006,0.1232,0.1444
200,28,25,1,adh-s,0.0519,0.0828,0.1123,0.1405,0.1672
1000,28,25,1,adh-s,0.0538,0.0918,0.1288,0.1671,0.1979
0,28,25,1,adh-s,0.0486,0.0492,0.0499,0.0508,0.0521
6.25,28,25,1,adh-s,0.0489,0.0528,0.0568,0.0605,0.0642
12.5,28,25,1,adh-s,0.0492,0.057,0.064,0.0707,0.0765
25,28,25,1,adh-s,0.0495,0.0608,0.0714,0.0808,0.0895
50,28,25,1,adh-s,0.0505,0.0703,0.0888,0.1062,0.1235
100,28,25,1,adh-s,0.0507,0.0747,0.0975,0.12,0.1395
200,28,25,1,adh-s,0.0517,0.0805,0.1082,0.1348,0.1595
1000,28,25,1,adh-s,0.0532,0.0929,0.1307,0.1665,0.1998
