EtOH,temp,sample_vol,n_flies,genotype,0_min,5_min,10_min,15_min,20_min,30_min,40_min,60_min
0,45,25,1,adh-f,0.0538,0.0541,0.055,0.0554,0.0559,0.0569,0.0577,0.058
6.25,45,25,1,adh-f,0.056,0.0586,0.0605,0.062,0.0626,0.0638,0.0644,0.0653
12.5,45,25,1,adh-f,0.0618,0.0649,0.0673,0.0688,0.07,0.0711,0.0722,0.0728
25,45,25,1,adh-f,0.0657,0.0716,0.0738,0.0765,0.077,0.0796,0.0806,0.0826
50,45,25,1,adh-f,0.0723,0.0794,0.0827,0.0847,0.0858,0.0873,0.0877,0.0884
100,45,25,1,adh-f,0.0779,0.0912,0.0942,0.0961,0.0976,0.0986,0.0989,0.0997
200,45,25,1,adh-f,0.0807,0.0911,0.0947,0.0961,0.0973,0.0987,0.0991,0.099
1000,45,25,1,adh-f,0.0723,0.0761,0.0776,0.0789,0.0795,0.0805,0.0809,0.0812
0,45,25,1,adh-f,0.0515,0.0535,0.0557,0.0544,0.0539,0.0549,0.055,0.0558
6.25,45,25,1,adh-f,0.0553,0.0572,0.0585,0.0598,0.0605,0.0616,0.0621,0.063
12.5,45,25,1,adh-f,0.059,0.0615,0.0631,0.0644,0.0653,0.0663,0.0668,0.0681
25,45,25,1,adh-f,0.0641,0.0674,0.0696,0.0714,0.0722,0.0754,0.0758,0.0766
50,45,25,1,adh-f,0.0712,0.0777,0.0803,0.082,0.0831,0.0845,0.0846,0.0851
100,45,25,1,adh-f,0.0787,0.0907,0.0938,0.0959,0.0975,0.0988,0.0991,0.1011
200,45,25,1,adh-f,0.0827,0.0967,0.1002,0.1019,0.1034,0.1047,0.1051,0.1059
1000,45,25,1,adh-f,0.0734,0.0784,0.0801,0.0814,0.082,0.0834,0.0841,0.0842
0,45,25,1,adh-s,0.0499,0.0502,0.0509,0.0506,0.0509,0.0513,0.0514,0.1924
6.25,45,25,1,adh-s,0.0598,0.0616,0.0626,0.063,0.0632,0.064,0.064,0.0649
12.5,45,25,1,adh-s,0.0681,0.0726,0.0748,0.0749,0.0754,0.0763,0.0805,0.0787
25,45,25,1,adh-s,0.0787,0.0862,0.0891,0.0903,0.0909,0.0917,0.0916,0.0921
50,45,25,1,adh-s,0.0952,0.1107,0.1137,0.1158,0.1168,0.1175,0.1174,0.1185
100,45,25,1,adh-s,0.1096,0.1372,0.1427,0.1455,0.1467,0.148,0.1476,0.1473
200,45,25,1,adh-s,0.1316,0.177,0.1834,0.186,0.1869,0.1876,0.1871,0.1907
1000,45,25,1,adh-s,0.1007,0.1131,0.1098,0.1102,0.1118,0.1102,0.1108,0.1095
0,45,25,1,adh-s,0.0501,0.05,0.0503,0.0505,0.0506,0.0508,0.051,0.0542
6.25,45,25,1,adh-s,0.0577,0.0593,0.0603,0.0603,0.0606,0.0613,0.0612,0.0616
12.5,45,25,1,adh-s,0.0667,0.07,0.0714,0.0718,0.0721,0.0745,0.0745,0.0743
25,45,25,1,adh-s,0.0775,0.0847,0.0869,0.0885,0.0889,0.0899,0.0896,0.0895
50,45,25,1,adh-s,0.0914,0.1037,0.1074,0.1109,0.1104,0.1112,0.1113,0.1123
100,45,25,1,adh-s,0.1123,0.1396,0.1456,0.148,0.1493,0.1504,0.1501,0.1496
200,45,25,1,adh-s,0.1184,0.1479,0.1545,0.1572,0.1583,0.1597,0.1592,0.1743
1000,45,25,1,adh-s,0.0955,0.1023,0.1028,0.1032,0.1032,0.1033,0.1029,0.1038
