EtOH,temp,sample_vol,n_flies,genotype,buffer,hs_time,0_min,15_min,30_min,60_min
2500,25,25,1,adh-f,kphos,0,0.0616,0.1014,0.1379,0.1985
2500,25,25,1,adh-f,kphos,5,0.0626,0.1211,0.1574,0.2187
2500,25,25,1,adh-f,kphos,10,0.0655,0.1042,0.1249,0.1678
2500,25,25,1,adh-f,kphos,15,0.0698,0.1738,0.1973,0.2942
2500,25,25,1,adh-f,kphos,20,0.102,0.28,0.3093,0.461
2500,25,25,1,adh-f,kphos,25,0.1132,0.3214,0.3472,0.5355
2500,25,25,1,adh-f,kphos,30,0.1245,0.3707,0.3972,0.6252
2500,25,25,1,adh-f,kphos,35,0.1197,0.2788,0.3482,0.5588
2500,25,25,1,adh-f,kphos,0,0.0652,0.1052,0.1392,0.211
2500,25,25,1,adh-f,kphos,5,0.069,0.1497,0.2408,0.3274
2500,25,25,1,adh-f,kphos,10,0.064,0.0994,0.1524,0.1729
2500,25,25,1,adh-f,kphos,15,0.0905,0.1991,0.2781,0.3918
2500,25,25,1,adh-f,kphos,20,0.0867,0.1771,0.2653,0.311
2500,25,25,1,adh-f,kphos,25,0.1019,0.2146,0.3135,0.4483
2500,25,25,1,adh-f,kphos,30,0.1108,0.2548,0.3278,0.4985
2500,25,25,1,adh-f,kphos,35,0.1293,0.2892,0.3572,0.5573
2500,25,25,1,adh-f,tris,0,0.0571,0.0821,0.1185,0.1652
2500,25,25,1,adh-f,tris,5,0.061,0.1103,0.1219,0.166
2500,25,25,1,adh-f,tris,10,0.0868,0.1556,0.2014,0.293
2500,25,25,1,adh-f,tris,15,0.0839,0.1859,0.3131,0.4161
2500,25,25,1,adh-f,tris,20,0.0895,0.1825,0.2203,0.2975
2500,25,25,1,adh-f,tris,25,0.0724,0.122,0.1435,0.1969
2500,25,25,1,adh-f,tris,30,0.0879,0.1668,0.1807,0.247
2500,25,25,1,adh-f,tris,35,0.1199,0.3294,0.3672,0.5887
2500,25,25,1,adh-f,tris,0,0.059,0.0668,0.0918,0.1204
2500,25,25,1,adh-f,tris,5,0.0611,0.1203,0.1303,0.185
2500,25,25,1,adh-f,tris,10,0.0747,0.1289,0.1717,0.2512
2500,25,25,1,adh-f,tris,15,0.0815,0.1695,0.258,0.3502
2500,25,25,1,adh-f,tris,20,0.0875,0.183,0.2416,0.3503
2500,25,25,1,adh-f,tris,25,0.0946,0.2083,0.2563,0.3791
2500,25,25,1,adh-f,tris,30,0.0892,0.1286,0.175,0.2067
2500,25,25,1,adh-f,tris,35,0.1096,0.2144,0.2672,0.3869
2500,25,25,1,adh-s,kphos,0,0.0862,0.1431,0.2207,0.3607
2500,25,25,1,adh-s,kphos,5,0.0791,0.1452,0.3248,0.4078
2500,25,25,1,adh-s,kphos,10,0.0694,0.221,0.2491,0.4114
2500,25,25,1,adh-s,kphos,15,0.0794,0.2089,0.2974,0.4389
2500,25,25,1,adh-s,kphos,20,0.0803,0.2054,0.2658,0.4188
2500,25,25,1,adh-s,kphos,25,0.1079,0.277,0.27,0.4074
2500,25,25,1,adh-s,kphos,30,0.077,0.1247,0.15,0.1866
2500,25,25,1,adh-s,kphos,35,0.1072,0.2576,0.2864,0.4435
2500,25,25,1,adh-s,kphos,0,0.0692,0.1281,0.2087,0.3279
2500,25,25,1,adh-s,kphos,5,0.0814,0.2039,0.332,0.5144
2500,25,25,1,adh-s,kphos,10,0.1167,0.2107,0.3164,0.4789
2500,25,25,1,adh-s,kphos,15,0.1067,0.1874,0.2718,0.4108
2500,25,25,1,adh-s,kphos,20,0.0926,0.1781,0.2342,0.364
2500,25,25,1,adh-s,kphos,25,0.1184,0.1616,0.2257,0.3352
2500,25,25,1,adh-s,kphos,30,0.0878,0.1263,0.1523,0.1946
2500,25,25,1,adh-s,kphos,35,0.1274,0.279,0.308,0.4715
2500,25,25,1,adh-s,tris,0,0.0764,0.1514,0.2149,0.3515
2500,25,25,1,adh-s,tris,5,0.1176,0.316,0.3395,0.5224
2500,25,25,1,adh-s,tris,10,0.09,0.1761,0.2943,0.4033
2500,25,25,1,adh-s,tris,15,0.1267,0.2861,0.4051,0.5621
2500,25,25,1,adh-s,tris,20,0.0743,0.1454,0.187,0.2711
2500,25,25,1,adh-s,tris,25,0.0835,0.178,0.1765,0.2533
2500,25,25,1,adh-s,tris,30,0.0702,0.1011,0.1161,0.1473
2500,25,25,1,adh-s,tris,35,0.1358,0.2745,0.3343,0.5042
2500,25,25,1,adh-s,tris,0,0.221,0.324,0.5686,0.8825
2500,25,25,1,adh-s,tris,5,0.1454,0.1803,0.2518,0.3747
2500,25,25,1,adh-s,tris,10,0.1666,0.2213,0.3149,0.4631
2500,25,25,1,adh-s,tris,15,0.1141,0.1566,0.2096,0.3176
2500,25,25,1,adh-s,tris,20,0.0959,0.1385,0.1929,0.2959
2500,25,25,1,adh-s,tris,25,0.1002,0.1261,0.1716,0.2582
2500,25,25,1,adh-s,tris,30,0.0811,0.1179,0.158,0.2288
2500,25,25,1,adh-s,tris,35,0.1212,0.2024,0.2709,0.4198
