EtOH,temp,sample_vol,n_flies,genotype,rep,hs_time,0_min,30_min,60_min,120_min,180_min
2500,25,25,1,adh-f,1,0,0.0752,0.1398,0.2113,0.306,0.3751
2500,25,25,1,adh-f,1,5,0.0575,0.0928,0.1284,0.1798,0.2165
2500,25,25,1,adh-f,1,10,0.0549,0.0814,0.1071,0.1501,0.1827
2500,25,25,1,adh-f,1,15,0.0527,0.0636,0.0744,0.0943,0.105
2500,25,25,1,adh-f,1,20,0.0535,0.0644,0.0747,0.0945,0.1093
2500,25,25,1,adh-f,1,25,0.0539,0.0605,0.066,0.0768,0.0825
2500,25,25,1,adh-f,1,30,0.055,0.0578,0.0611,0.0668,0.072
2500,25,25,1,adh-f,1,35,0.0535,0.0579,0.063,0.0715,0.0792
2500,25,25,1,adh-f,1,0,0.0652,0.1587,0.2462,0.3726,0.4677
2500,25,25,1,adh-f,1,5,0.0593,0.112,0.166,0.252,0.3198
2500,25,25,1,adh-f,1,10,0.0544,0.0726,0.0913,0.1214,0.1402
2500,25,25,1,adh-f,1,15,0.0532,0.0609,0.0678,0.0798,0.0883
2500,25,25,1,adh-f,1,20,0.0577,0.0689,0.0922,0.0967,0.1222
2500,25,25,1,adh-f,1,25,0.0653,0.0788,0.0888,0.1011,0.1119
2500,25,25,1,adh-f,1,30,0.0527,0.0574,0.0627,0.0705,0.0763
2500,25,25,1,adh-f,1,35,0.0544,0.0564,0.0598,0.0643,0.0692
2500,25,25,1,adh-s,1,0,0.055,0.0817,0.1102,0.155,0.1912
2500,25,25,1,adh-s,1,5,0.0506,0.0539,0.0575,0.0641,0.0679
2500,25,25,1,adh-s,1,10,0.0521,0.0531,0.0551,0.0585,0.0594
2500,25,25,1,adh-s,1,15,0.0503,0.0512,0.0521,0.0552,0.0557
2500,25,25,1,adh-s,1,20,0.051,0.0517,0.052,0.0548,0.0553
2500,25,25,1,adh-s,1,25,0.051,0.0613,0.0564,0.0551,0.0622
2500,25,25,1,adh-s,1,30,0.0525,0.055,0.0542,0.055,0.0562
2500,25,25,1,adh-s,1,35,0.0526,0.0519,0.0532,0.0552,0.0567
2500,25,25,1,adh-s,1,0,0.0534,0.0697,0.0856,0.1102,0.1301
2500,25,25,1,adh-s,1,5,0.0506,0.0526,0.0546,0.058,0.0611
2500,25,25,1,adh-s,1,10,0.051,0.0551,0.0556,0.0599,0.0631
2500,25,25,1,adh-s,1,15,0.0501,0.0515,0.0528,0.0557,0.0563
2500,25,25,1,adh-s,1,20,0.0516,0.0522,0.0531,0.0548,0.0571
2500,25,25,1,adh-s,1,25,0.0501,0.0511,0.0517,0.0534,0.0551
2500,25,25,1,adh-s,1,30,0.0516,0.0525,0.0524,0.053,0.0535
2500,25,25,1,adh-s,1,35,0.0542,0.0534,0.0539,0.0569,0.0563
2500,25,25,1,adh-f,2,0,0.0687,0.1755,0.2878,0.4776,0.6572
2500,25,25,1,adh-f,2,5,0.0561,0.0851,0.1169,0.1676,0.2101
2500,25,25,1,adh-f,2,10,0.0548,0.0675,0.0821,0.1066,0.1289
2500,25,25,1,adh-f,2,15,0.0539,0.0577,0.0617,0.0687,0.0747
2500,25,25,1,adh-f,2,20,0.0529,0.055,0.0574,0.0607,0.0645
2500,25,25,1,adh-f,2,25,0.0537,0.0573,0.0604,0.0664,0.0715
2500,25,25,1,adh-f,2,30,0.0542,0.0558,0.0569,0.0585,0.0609
2500,25,25,1,adh-f,2,35,0.0602,0.0646,0.0668,0.0732,0.0771
2500,25,25,1,adh-f,2,0,0.0666,0.1564,0.257,0.4115,0.5628
2500,25,25,1,adh-f,2,5,0.0576,0.0888,0.1241,0.1804,0.2295
2500,25,25,1,adh-f,2,10,0.0551,0.0658,0.078,0.0986,0.1138
2500,25,25,1,adh-f,2,15,0.0555,0.0578,0.0626,0.0731,0.0785
2500,25,25,1,adh-f,2,20,0.0535,0.0594,0.0663,0.078,0.0891
2500,25,25,1,adh-f,2,25,0.0577,0.0611,0.0655,0.073,0.0783
2500,25,25,1,adh-f,2,30,0.0559,0.0578,0.0612,0.0672,0.073
2500,25,25,1,adh-f,2,35,0.0646,0.0622,0.0612,0.0635,0.0624
2500,25,25,1,adh-s,2,0,0.0717,0.1929,0.3181,0.5241,0.721
2500,25,25,1,adh-s,2,5,0.0588,0.1088,0.1602,0.2526,0.3322
2500,25,25,1,adh-s,2,10,0.0559,0.085,0.1177,0.1746,0.2205
2500,25,25,1,adh-s,2,15,0.054,0.0708,0.0903,0.1264,0.1519
2500,25,25,1,adh-s,2,20,0.0528,0.0634,0.0747,0.095,0.1123
2500,25,25,1,adh-s,2,25,0.0564,0.0613,0.0649,0.0748,0.0782
2500,25,25,1,adh-s,2,30,0.0515,0.0534,0.0555,0.0594,0.0621
2500,25,25,1,adh-s,2,35,0.0541,0.062,0.0624,0.0712,0.0791
2500,25,25,1,adh-s,2,0,0.0721,0.1869,0.3107,0.5053,0.6981
2500,25,25,1,adh-s,2,5,0.059,0.097,0.1308,0.184,0.2236
2500,25,25,1,adh-s,2,10,0.056,0.086,0.1178,0.1742,0.2244
2500,25,25,1,adh-s,2,15,0.0536,0.0607,0.0676,0.0775,0.0815
2500,25,25,1,adh-s,2,20,0.0545,0.056,0.0589,0.0603,0.0638
2500,25,25,1,adh-s,2,25,0.0532,0.0659,0.0568,0.069,0.0755
2500,25,25,1,adh-s,2,30,0.0538,0.0577,0.0558,0.0664,0.0645
2500,25,25,1,adh-s,2,35,0.0529,0.0568,0.0636,0.0698,0.0776
