cycle,time,temp,0,0,0,200,200,200,1.5625,1.5625,1.5625,400,400,400,3.125,3.125,3.125,800,800,800,6.25,6.25,6.25,2500,2500,2500,12.5,12.5,12.5,25,25,25,50,50,50,100,100,100
1,0,24,0.1609,0.1606,0.1635,0.4675,0.4672,0.4585,0.3969,0.3941,0.4608,0.443,0.449,0.4656,0.3906,0.4047,0.4049,0.5157,0.4712,0.4913,0.3886,0.3995,0.4137,0.4885,0.4881,0.4627,0.4036,0.5148,0.4218,0.4048,0.409,0.4202,0.4325,0.4,0.4532,0.4255,0.4434,0.4451
2,11.515,24,0.154,0.1576,0.1612,0.4729,0.4784,0.466,0.3987,0.3938,0.4757,0.4512,0.4605,0.4816,0.3895,0.4104,0.41,0.5345,0.4906,0.5068,0.3895,0.4208,0.4166,0.5071,0.5147,0.4822,0.4082,0.5228,0.4247,0.4037,0.4158,0.425,0.4349,0.4161,0.4722,0.4389,0.4501,0.4573
3,23.014,23.5,0.1535,0.1577,0.1606,0.4843,0.4956,0.4743,0.3952,0.3969,0.4926,0.4611,0.4728,0.4882,0.3896,0.4094,0.4131,0.5466,0.5058,0.5165,0.3903,0.4198,0.4197,0.5322,0.5307,0.5155,0.4114,0.5232,0.4272,0.4109,0.4225,0.4285,0.4433,0.417,0.491,0.4434,0.4598,0.4622
4,34.504,23.8,0.1532,0.1568,0.1608,0.4903,0.5024,0.4831,0.3932,0.3945,0.5081,0.477,0.4825,0.5021,0.3888,0.4122,0.4124,0.5577,0.52,0.5295,0.3939,0.4234,0.4195,0.5558,0.5479,0.5182,0.4067,0.5246,0.4274,0.4128,0.4219,0.4284,0.447,0.4232,0.4924,0.455,0.4641,0.4719
5,46.002,23.9,0.1536,0.1574,0.1611,0.4976,0.5109,0.4835,0.3974,0.3949,0.511,0.4936,0.4949,0.5097,0.3904,0.41,0.4168,0.573,0.5328,0.5467,0.3952,0.4261,0.4177,0.5671,0.569,0.5397,0.4088,0.5271,0.4323,0.4165,0.4262,0.431,0.4548,0.4264,0.5002,0.461,0.4702,0.4757
6,57.5,23.5,0.1531,0.157,0.1608,0.5022,0.5204,0.4898,0.396,0.3938,0.5067,0.4932,0.5086,0.5184,0.3898,0.4159,0.4145,0.5904,0.5459,0.5542,0.3927,0.425,0.4257,0.5864,0.5832,0.5465,0.4217,0.5284,0.434,0.4209,0.4328,0.4317,0.4613,0.4384,0.5092,0.4689,0.4792,0.4823
7,69.015,23.3,0.1531,0.1573,0.1611,0.5108,0.5348,0.4985,0.3982,0.3966,0.5114,0.5055,0.5112,0.526,0.3968,0.4158,0.4134,0.5949,0.5578,0.5678,0.3922,0.429,0.4258,0.6166,0.5978,0.5642,0.4132,0.5316,0.4384,0.4242,0.4352,0.4349,0.459,0.442,0.5131,0.4704,0.4805,0.4866
8,80.519,23.7,0.1535,0.1575,0.1655,0.519,0.531,0.5095,0.4004,0.3973,0.5189,0.5185,0.5234,0.5353,0.3936,0.4164,0.4155,0.6043,0.5693,0.5798,0.3931,0.4298,0.4268,0.6183,0.6223,0.5773,0.4136,0.5291,0.439,0.4246,0.4345,0.4358,0.4649,0.4511,0.5193,0.4818,0.4903,0.4902
9,92.045,23.9,0.1535,0.1575,0.1613,0.5298,0.5413,0.5102,0.4003,0.3962,0.5128,0.5178,0.5247,0.5446,0.3968,0.4147,0.4125,0.6176,0.5798,0.5829,0.3948,0.4245,0.4234,0.631,0.6284,0.5872,0.4191,0.5245,0.4364,0.4262,0.4391,0.4381,0.4664,0.4567,0.5245,0.4828,0.4928,0.4947
10,103.573,24,0.1537,0.1573,0.1616,0.5348,0.547,0.5135,0.401,0.3966,0.5152,0.5261,0.5338,0.5495,0.3964,0.4157,0.4188,0.6223,0.5882,0.5928,0.3961,0.4296,0.4256,0.6468,0.6422,0.6015,0.421,0.5283,0.4414,0.4304,0.4413,0.4401,0.4718,0.4652,0.5282,0.4931,0.4956,0.4975
11,115.062,23.4,0.1535,0.1574,0.1614,0.5386,0.5497,0.5248,0.4029,0.4015,0.5196,0.5359,0.5377,0.5596,0.3937,0.4196,0.4166,0.6301,0.596,0.6023,0.3996,0.4307,0.4263,0.6602,0.6545,0.6092,0.423,0.5305,0.4533,0.426,0.44,0.4387,0.4758,0.4672,0.5314,0.4905,0.5018,0.5031
