cycle,time,temp,0,0,0,200,200,200,1.5625,1.5625,1.5625,400,400,400,3.125,3.125,3.125,800,800,800,6.25,6.25,6.25,2500,2500,2500,12.5,12.5,12.5,25,25,25,50,50,50,100,100,100
1,0,18.9,0.1425,0.1431,0.1431,0.2812,0.2586,0.2512,0.225,0.2175,0.2259,0.2697,0.2674,0.2721,0.2401,0.2225,0.2342,0.2644,0.277,0.298,0.2342,0.2365,0.2244,0.2803,0.2759,0.301,0.2502,0.2422,0.2399,0.2439,0.2446,0.2412,0.2586,0.2481,0.2326,0.2657,0.2515,0.267
2,11.031,18.7,0.1424,0.143,0.1415,0.3012,0.2818,0.267,0.2268,0.2229,0.2254,0.2899,0.2876,0.2925,0.2458,0.2246,0.2387,0.2863,0.3025,0.3215,0.2414,0.2334,0.2294,0.303,0.3003,0.3258,0.2585,0.249,0.2489,0.2549,0.254,0.2524,0.2733,0.2527,0.2468,0.2881,0.2694,0.2839
3,22.057,19.2,0.142,0.1431,0.1416,0.3195,0.2983,0.2837,0.2293,0.2247,0.2291,0.3104,0.3079,0.3133,0.2489,0.2281,0.2426,0.3076,0.3251,0.3458,0.2579,0.238,0.2345,0.3238,0.321,0.3467,0.2664,0.2565,0.2567,0.2711,0.2639,0.2627,0.2873,0.2645,0.2581,0.301,0.2858,0.3004
4,33.066,19.1,0.1421,0.1431,0.1419,0.3355,0.3145,0.2996,0.2317,0.2266,0.2321,0.3294,0.3267,0.3326,0.2517,0.2329,0.2472,0.3266,0.3461,0.3656,0.2526,0.244,0.2408,0.3435,0.3404,0.3679,0.2747,0.2645,0.2689,0.2745,0.2725,0.2717,0.2992,0.2768,0.2706,0.3181,0.3025,0.3155
5,44.058,18.9,0.1421,0.1431,0.1418,0.3519,0.3302,0.3143,0.2345,0.2297,0.2362,0.346,0.3453,0.3503,0.2571,0.2355,0.2525,0.3445,0.366,0.3841,0.2574,0.2486,0.2458,0.364,0.359,0.3893,0.2819,0.2702,0.2717,0.2825,0.2817,0.2809,0.3108,0.2878,0.2803,0.3296,0.3166,0.3303
6,55.044,19.1,0.1422,0.1431,0.1418,0.3655,0.3442,0.327,0.2361,0.2322,0.2382,0.3622,0.3615,0.3691,0.2586,0.2384,0.256,0.362,0.3835,0.4022,0.2635,0.2555,0.2503,0.3829,0.3766,0.4091,0.2889,0.2761,0.2792,0.2907,0.2893,0.2883,0.3213,0.2975,0.2913,0.3421,0.3299,0.3431
7,66.059,19.3,0.1421,0.1431,0.1419,0.3787,0.358,0.3395,0.2391,0.2369,0.2418,0.3773,0.377,0.3821,0.2621,0.2426,0.2598,0.3782,0.4015,0.4184,0.2674,0.2588,0.2552,0.4004,0.3936,0.4268,0.2951,0.2822,0.2844,0.2987,0.2976,0.2964,0.3309,0.307,0.2987,0.355,0.3426,0.3553
8,77.095,18.9,0.1422,0.1424,0.1433,0.3924,0.3706,0.3519,0.2407,0.237,0.2449,0.3923,0.3922,0.3977,0.2658,0.2464,0.2647,0.3954,0.418,0.4345,0.2719,0.2629,0.2603,0.4178,0.4115,0.4457,0.3015,0.2883,0.2905,0.3062,0.3052,0.3046,0.3403,0.3173,0.3076,0.3668,0.3533,0.3666
9,88.131,18.7,0.1421,0.143,0.1416,0.4052,0.3833,0.3633,0.2436,0.24,0.247,0.4063,0.4059,0.4115,0.2681,0.249,0.2676,0.4091,0.4347,0.4502,0.2758,0.2674,0.2647,0.433,0.427,0.4668,0.3072,0.294,0.2954,0.3134,0.3121,0.3107,0.3496,0.3243,0.3154,0.378,0.3649,0.3782
10,99.173,18.7,0.1423,0.1429,0.1421,0.4163,0.3943,0.3747,0.2456,0.2416,0.2537,0.4193,0.4195,0.4253,0.2717,0.252,0.2714,0.4231,0.4496,0.4649,0.2799,0.2718,0.2694,0.4493,0.4419,0.477,0.313,0.2991,0.3016,0.3201,0.3184,0.3174,0.3583,0.3326,0.3233,0.3879,0.3766,0.3882
11,110.222,18.6,0.1423,0.143,0.142,0.4283,0.4052,0.3856,0.247,0.245,0.2521,0.4329,0.4326,0.4392,0.2752,0.2549,0.2756,0.4381,0.4648,0.4803,0.2844,0.2759,0.2737,0.4635,0.4579,0.4919,0.3183,0.3045,0.3067,0.3263,0.3254,0.3248,0.3686,0.3406,0.331,0.3975,0.3854,0.3985
