cycle,time,temp,0,0,0,200,200,200,1.5625,1.5625,1.5625,400,400,400,3.125,3.125,3.125,800,800,800,6.25,6.25,6.25,2500,2500,2500,12.5,12.5,12.5,25,25,25,50,50,50,100,100,100
1,0,33.9,0.1728,0.1449,0.1336,0.2831,0.2698,0.2767,0.2497,0.2413,0.2465,0.2803,0.2742,0.2779,0.264,0.2541,0.2444,0.2764,0.281,0.2749,0.2627,0.2478,0.2525,0.3305,0.3257,0.33,0.2741,0.2606,0.2518,0.2655,0.2598,0.2565,0.2607,0.2525,0.2591,0.2547,0.2793,0.2624
2,11.046,33.8,0.1714,0.1448,0.1334,0.2955,0.284,0.2902,0.2487,0.2437,0.2461,0.2947,0.2882,0.2922,0.2652,0.2544,0.2473,0.2923,0.2975,0.2914,0.2658,0.2488,0.2565,0.3507,0.3456,0.3499,0.2713,0.2644,0.2553,0.2704,0.2653,0.2623,0.2676,0.2608,0.2665,0.2645,0.2945,0.2725
3,22.117,34,0.171,0.145,0.1327,0.3064,0.2952,0.3031,0.2488,0.2421,0.2472,0.3071,0.3005,0.3056,0.2657,0.2548,0.247,0.3064,0.3113,0.3046,0.2666,0.2505,0.2606,0.3687,0.3624,0.3675,0.2738,0.2677,0.2582,0.2751,0.2703,0.2667,0.2748,0.2672,0.2736,0.2732,0.3005,0.2812
4,33.176,33.9,0.1707,0.1449,0.1324,0.3158,0.304,0.3125,0.2496,0.2422,0.2487,0.319,0.3153,0.3172,0.2675,0.2565,0.2493,0.3201,0.3243,0.318,0.2682,0.2525,0.2616,0.3858,0.3789,0.385,0.2797,0.2701,0.2617,0.2798,0.2754,0.271,0.2809,0.2735,0.2798,0.2801,0.3051,0.2899
5,44.243,34,0.1706,0.1453,0.1325,0.3249,0.3146,0.3226,0.2499,0.2427,0.2496,0.3292,0.3234,0.328,0.2682,0.2568,0.2508,0.333,0.3365,0.3302,0.2707,0.2537,0.2635,0.4023,0.394,0.4001,0.2784,0.2729,0.2646,0.2838,0.2785,0.2754,0.2862,0.2791,0.285,0.2873,0.3099,0.2966
6,55.312,34,0.1709,0.1452,0.1324,0.3334,0.3223,0.3313,0.2507,0.2431,0.2505,0.3396,0.3335,0.3392,0.2692,0.2585,0.2525,0.3436,0.3486,0.3415,0.2724,0.2559,0.2668,0.4167,0.4087,0.4152,0.2829,0.2766,0.2671,0.2873,0.2827,0.2795,0.2916,0.2838,0.2903,0.2946,0.3127,0.3035
7,66.37,33.7,0.1708,0.1456,0.1323,0.3413,0.3306,0.3406,0.2518,0.2437,0.2522,0.3495,0.3431,0.3489,0.2711,0.2601,0.2548,0.3542,0.3597,0.3534,0.2741,0.258,0.2685,0.431,0.4227,0.4303,0.285,0.28,0.2704,0.2934,0.2861,0.2819,0.2964,0.2889,0.2954,0.3003,0.319,0.3103
8,77.451,34.1,0.1711,0.1455,0.1324,0.3494,0.3381,0.3491,0.2521,0.244,0.2527,0.3584,0.3522,0.3578,0.2717,0.2613,0.2552,0.3649,0.3697,0.3635,0.2757,0.2595,0.2717,0.4443,0.4362,0.4434,0.2898,0.2807,0.2722,0.2945,0.2904,0.2859,0.3015,0.2941,0.3001,0.3066,0.3242,0.3158
9,88.524,34,0.171,0.1452,0.1323,0.357,0.3451,0.3567,0.2529,0.2451,0.2546,0.3669,0.3607,0.3676,0.2744,0.2627,0.2571,0.3746,0.38,0.3727,0.2773,0.2603,0.273,0.4573,0.45,0.4561,0.2914,0.2838,0.2743,0.2983,0.2936,0.2895,0.3056,0.2985,0.3052,0.3125,0.331,0.3219
10,99.576,33.7,0.1716,0.1454,0.1324,0.3631,0.3522,0.3651,0.2538,0.2461,0.2553,0.3751,0.3691,0.3748,0.2738,0.2635,0.2584,0.384,0.3896,0.3827,0.2793,0.2622,0.2753,0.4701,0.4623,0.4699,0.2937,0.2855,0.2776,0.3011,0.2962,0.2922,0.3091,0.3023,0.3089,0.3167,0.3366,0.3272
11,110.637,34,0.1711,0.1454,0.1321,0.3699,0.359,0.3708,0.2544,0.2463,0.2555,0.3833,0.3769,0.3831,0.2748,0.2647,0.2594,0.3933,0.3977,0.391,0.2795,0.2634,0.2788,0.482,0.474,0.4812,0.2933,0.287,0.2785,0.3035,0.2998,0.2947,0.313,0.3055,0.3127,0.3218,0.3409,0.3327
