cycle,time,temp,0,0,0,200,200,200,1.5625,1.5625,1.5625,400,400,400,3.125,3.125,3.125,800,800,800,6.25,6.25,6.25,2500,2500,2500,12.5,12.5,12.5,25,25,25,50,50,50,100,100,100
1,0,23.9,0.1381,0.133,0.14,0.248,0.2528,0.2487,0.2236,0.2186,0.2276,0.2545,0.2534,0.2531,0.2277,0.2196,0.231,0.2513,0.2628,0.2528,0.2296,0.2257,0.2363,0.2456,0.2599,0.2709,0.2286,0.2349,0.2321,0.2341,0.2325,0.2329,0.2243,0.2272,0.2319,0.2408,0.2274,0.2277
2,11.5,24.1,0.1318,0.1293,0.1367,0.2508,0.2585,0.2605,0.2258,0.2198,0.2259,0.2583,0.258,0.2648,0.2254,0.2201,0.2348,0.2646,0.2767,0.2729,0.2324,0.2305,0.2429,0.2587,0.2802,0.2825,0.2339,0.2376,0.238,0.2351,0.236,0.2396,0.2342,0.2455,0.2372,0.2484,0.2378,0.2383
3,22.999,23.8,0.1316,0.1291,0.1353,0.2622,0.269,0.2691,0.2273,0.221,0.2273,0.2645,0.2701,0.2745,0.2281,0.2247,0.2378,0.2744,0.2869,0.2761,0.2345,0.2338,0.2453,0.2719,0.2882,0.2958,0.2348,0.2401,0.241,0.2406,0.2411,0.2434,0.2416,0.2403,0.244,0.2527,0.2462,0.2418
4,34.486,23.8,0.1317,0.129,0.1354,0.2712,0.2769,0.2749,0.2291,0.2208,0.2285,0.2764,0.276,0.2801,0.2323,0.2256,0.2385,0.2844,0.295,0.2848,0.2391,0.2334,0.2425,0.2869,0.2999,0.3103,0.2343,0.2446,0.2406,0.2499,0.2449,0.2479,0.2424,0.2451,0.2475,0.261,0.2497,0.252
5,45.99,23.5,0.1319,0.1289,0.1354,0.2755,0.2815,0.2867,0.2281,0.224,0.2295,0.2841,0.2859,0.2891,0.2316,0.2275,0.2398,0.2987,0.305,0.2936,0.2373,0.2362,0.2461,0.2945,0.3116,0.3198,0.2404,0.2476,0.2446,0.2475,0.2505,0.2531,0.2462,0.2492,0.2564,0.2654,0.2553,0.2555
6,57.481,24.1,0.1318,0.1289,0.1355,0.2839,0.2906,0.2967,0.2308,0.2242,0.2301,0.2921,0.2924,0.2966,0.2318,0.2284,0.2405,0.3117,0.3111,0.306,0.2409,0.2371,0.246,0.3064,0.3244,0.3274,0.2394,0.2509,0.2453,0.2533,0.2502,0.2557,0.2516,0.2523,0.2546,0.274,0.2597,0.2604
7,68.979,24.1,0.132,0.1288,0.1356,0.2895,0.2936,0.2981,0.2293,0.2252,0.2312,0.3003,0.2996,0.3029,0.2317,0.231,0.2448,0.3121,0.3213,0.3129,0.2398,0.2397,0.2477,0.3151,0.3345,0.3382,0.2435,0.2495,0.2501,0.2548,0.2571,0.2561,0.2541,0.255,0.258,0.277,0.267,0.2667
8,80.491,23.5,0.132,0.1289,0.1355,0.2945,0.2998,0.3013,0.2289,0.2263,0.2315,0.3094,0.3069,0.3104,0.2349,0.2289,0.2441,0.3251,0.3296,0.3186,0.2415,0.2392,0.2513,0.3268,0.3518,0.3465,0.2425,0.2521,0.2517,0.2598,0.2551,0.2637,0.2575,0.2635,0.2655,0.2835,0.2712,0.27
9,91.989,23.9,0.132,0.1289,0.1357,0.302,0.3091,0.3095,0.2325,0.2286,0.2323,0.3102,0.3125,0.317,0.2359,0.2305,0.2452,0.3279,0.3369,0.3288,0.242,0.2381,0.2555,0.338,0.3515,0.3573,0.2455,0.2542,0.2519,0.2607,0.2588,0.2607,0.2599,0.2795,0.2663,0.2865,0.2751,0.274
10,103.48,24,0.1319,0.129,0.1357,0.3062,0.315,0.3146,0.2324,0.2274,0.2328,0.316,0.3188,0.3248,0.2343,0.231,0.2474,0.3379,0.3457,0.336,0.2411,0.2457,0.253,0.3449,0.3591,0.3659,0.2486,0.254,0.2588,0.2605,0.2599,0.265,0.2656,0.2663,0.2722,0.289,0.2784,0.2779
11,114.991,23.6,0.1322,0.1291,0.1356,0.3146,0.3159,0.3187,0.238,0.2282,0.2344,0.3244,0.3267,0.3304,0.237,0.2307,0.2466,0.3442,0.3512,0.3462,0.2424,0.2437,0.2574,0.3555,0.3686,0.3761,0.2483,0.2563,0.2533,0.2629,0.264,0.2677,0.2667,0.2704,0.2726,0.293,0.2846,0.2827
